"5","3","3","3","yes","yes","right","none","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3day","1","1","","1","","","1","","","","","პირველი დღე","არაფრი არ მაქვს დასამატებელი","",""
"5","3","3","2","yes","yes","right","mid","3","3","2","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","1","3","1","3","3","2","1","","1","1","","1","","","1","1","1","","","ტეწნიკური დეტალების ახსნა","სამ დღიანი აჯობებდა რო ყოფილიყო","არ მაქვს, საინტერესო და ინფორმაციული იყო ჩემთვის",""
"5","3","3","3","yes","yes","right","mid","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2day","1","1","1","1","1","1","1","1","1","1","","","","",""
"4","3","3","2","yes","partial","right","beginner","3","3","3","3","2","2","2","3","2","2","3","3","2","3","3","3","3","3","3","3","2","3","3","3","3","3day","","","","","1","","1","","1","","","თვალსაწიერის გაფართოება და შეფასების სისტემის გადახედვის აუცილებლობაში დარწმუნება","მე უფრო ტემპს ავაჩქარებდი და ვეცდებოდი, რომ ადგილზე კეთების პრაქტიკაც დაინტეგრირებულიყო მუშაობის პროცესში მცირედი გავარჯიშებებით, ეს უფრო ჩართულობითს გახდიდა პროცესს. ასევე, მგონია, რომ უყურადღებოდ არ უნდა დაგრცეთ, თუკი ჯგუფი ""გაგვექცევა"" და თქვენს პარალელურად დაიწყებს დისკუსიას ან მსჯელობას, ეს მცირედი სასწავლო რჩევები, რომელსაც ვიმედოვნებ, რომ მეგობრულად მიიღებთ,. ","მადლობა დიდი!","მონაცემთა ანალიზი"
"5","3","3","2","yes","yes","right","mid","3","3","2","3","3","3","3","2","3","3","3","2","3","1","3","3","3","2","3","2","1","2","2","3","2","2day","1","1","","1","1","","1","1","1","","","ინფორმაცია ახალი AI tool-ების (Genspark, Gamma, ...) და AI აგეტის შექმნის პრაქტიკული დემონსტრაცია.","სასურველია შემდგომი ტრენინგები უკვე იყოს ცალკეულ იუნითებზე ფოკუსირებული, მათი საქმიანობის პროცესისა და საჭიროებების მიხედვით.","დიდი მადლობა!",""
"5","3","3","3","yes","yes","right","mid","2","3","2","2","3","2","2","2","2","2","","","","2","3","2","3","3","1","1","1","2","2","2","3","1day","1","1","","","1","","","","","","","","","",""
"5","3","3","3","yes","yes","right","beginner","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3day","","1","","","1","","1","","1","","","","","",""
"5","3","3","3","yes","mostly","right","mid","2","2","2","2","3","2","2","3","3","2","3","2","2","3","3","2","3","3","1","2","2","2","3","3","3","3day","1","1","1","1","1","","1","1","","","","","","",""
"3","3","3","3","yes","partial","easy","advanced","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","3","3","3","3","1","3","3","3","2","3day","","","1","","1","1","1","","","","","","","",""
"5","3","3","3","yes","mostly","right","beginner","3","3","3","3","2","2","3","3","3","2","3","2","3","3","3","3","3","3","3","3","2","2","2","2","3","","1","1","1","1","","1","1","1","1","","","ძალიან კარგად იყო დაგეგმილი ტრეინინგის სტრუქტურა. მომეწონა მასალა რომელიც ტრეინინგამდე უნდა გვენახა. გასაგები ენით კომუნიკაცია აადვილებდა ახალის აღქმას. ","ცოტა მეტი დრო რომ დაგვეთმო ინდივიდუალური და პრაქტიკული დავალებების იქვე შესრულებაზე კიდევ უფრო კარგი იქნებოდა, მაგრამ მესის რომ დრო იყო შეზღუდული და თემატიკა მოცულობითი. მესამე დღეს თუ დავამატებდი მხოლოდ პრაქტიკული და ინდივიდუალური დავალებების შესრულებისთვის. დიდი მადლობა!","",""
"4","3","3","2","yes","mostly","right","mid","2","2","2","2","2","2","2","2","2","1","","","","","","","","","","","","","","","","1day","1","1","1","1","1","","","","","","","ძალიან კარგი იყო ხელოვნური ინტელექტის სცენის მიღმა ნაწილზე საუბარი.","ოდნავ შევცვლიდი საკითხების მიმდევრობას. ჩემი აზრით, საკითხების მიმდევრობა უფრო მორგებული იყო ""ტექნოლოგიების მიმართულების"" დამსწრეებისთვის. ალბათ, უფრო ეფექტური იქნებოდა თავიდან რაიმე კონკრეტული მაგალითის/ქეისის გაკეთება (რაც შეიძლება აუდიტორიიდან ამოგეღოთ, თუ რა აინტერესებდათ მათ ყველაზე მეტად), შედეგების ნახვა და შემდეგ უკვე ჩაღრმავება განხილულ საკითხებში.  აუდიტორიისთვის საინტერესო საკითხების თავიდანვე გაგება, აგრეთვე დაგეხმარებოდათ იმაში, თუ რა მიმდევრობით დაგეფარათ საკითხები და რას ჩაღრმავებოდით.  
მართალია ჩვენ (დამსწრეები) მაგარი ზარმაცები ვიყავით :), თუმცა, იდეაში, შეიძლებოდა აუდიტორიის რომელიმე წევრის კონკრეტულ პრობლემაზე მუშაობა, თავად აუდიტორიის წევრი რომ მიჰყოლოდა თქვენ ინსტრუქციებს აუდიტორიის წინაშე.  ","წარმატებები. 
უფრო პატარა კითხვარი რა :)",""
